Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
328/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.03398724390937519
329/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03364737147028144
330/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.03331089775557862
331/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03297778877802284
332/1000:None,1/2-1/2,37,Termination.FIVEFOLD_REPETITION,0.03264801089024261
333/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.03232153078134019
334/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03199831547352679
335/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03167833231879152
336/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0313615489956036
337/1000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.03104793350564756
338/1000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.03073745417059109
339/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.03043007962888518
340/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03012577883259632
341/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02982452104427036
342/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02952627583382766
343/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02923101307548938
344/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02893870294473449
345/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02864931591528714
346/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02836282275613427
347/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.02807919452857293
348/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0277984025832872
349/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.02752041855745432
350/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02724521437187978
351/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02697276222816098
352/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02670303460587938
353/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02643600425982058
354/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02617164421722238
355/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02590992777505015
356/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02565082849729965
357/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02539432021232665
358/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02514037701020339
359/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02488897324010135
